,0,1,2,3,4,5,6,7,8
132,Data Analyst - Data Science,NTT DATA Services,3.5 out of 5 star rating,NTT Data,"
            NTT DATA Services currently seeks a Data Analyst - Data Science to join our team in Addison, Texas (US-TX), United States (US).","1,996 reviews",https://www.indeed.com//cmp/Ntt-Data-Services/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Data+Analyst+-+Data+Science&amp;fromjk=820438b7f5341611&amp;jcid=800c6ef45705c009,NULL,https://www.indeed.com/rc/clk?jk=820438b7f5341611&fccid=ac38a400acc8fe73&vjs=3
133,            GIS ANALYST I,"Dallas County, TX",3.8 out of 5 star rating,save job - more...,"
            Manages migration of data into relational databases; Performs data collection, cartography and other technical functions as necessary.",406 reviews,https://www.indeed.com//cmp/City-of-Dallas/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=GIS+ANALYST+I&amp;fromjk=dee6695b283a03bd&amp;jcid=e72d87c953dfa577,NULL,https://www.indeed.com/rc/clk?jk=dee6695b283a03bd&fccid=63dc47ddbc3a4e7d&vjs=3
134,            SIU Analyst,VRC Investigations,2.7 out of 5 star rating,save job - more...,"
            The Analyst will review and research evidence including surveillance film, investigative reports, social networking, depositions, statements, CPT codes, billing…",25 reviews,https://www.indeed.com//cmp/Vrc-Investigations/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=SIU+Analyst&amp;fromjk=69500c9977342904&amp;jcid=b83a9014e27bc28f,NULL,https://www.indeed.com/company/VRC-Investigations/jobs/Siu-Analyst-69500c9977342904?fccid=b83a9014e27bc28f&vjs=3
135,Data Analyst (ETL / Unix),Targetbase,3.0 out of 5 star rating,save job - more...,"
            Develops mapping and data processing procedures to import data from various data sources and populate the client database. SQL Server 2005/2008 is a plus.",16 reviews,https://www.indeed.com//cmp/Targetbase/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Data+Analyst+%28ETL+%5C%2F+Unix%29&amp;fromjk=89b499ae584aba2f&amp;jcid=5c879df66b9ce8fa,NULL,https://www.indeed.com/rc/clk?jk=89b499ae584aba2f&fccid=5c879df66b9ce8fa&vjs=3
136,            Tableau Reporting Analyst IV,Foverobrains,NULL,14 hours ago,"
            Design and develop Tableau dashboards templates that provide standardization of views with flexibility in data structures.",NULL,NULL,NULL,https://www.indeed.com/rc/clk?jk=5ab78d166b244fec&fccid=dfec3946561b3bcb&vjs=3
137,Data Analyst,"Analytical Mechanics Associates, Inc.",NULL,save job - more...,"
            We are actively seeking several motivated Data Analyst at our Dallas, TX location! (AMA) is actively seeking several motivated Data Analyst at our Plano, TX…",NULL,NULL,NULL,https://www.indeed.com/rc/clk?jk=d4470145a71b0c15&fccid=720a61a46c468044&vjs=3
138,            Compliance Analyst - Mortgage,Recovco Mortgage Management,3.0 out of 5 star rating,Sponsored,"
            Entering data into the system. Compliance Analysts with post-closing TRID and NPL compliance experience. Recovco Mortgage Management, LLC established as an…",26 reviews,https://www.indeed.com//cmp/Recovco-Mortgage-Management/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Compliance+Analyst+-+Mortgage&amp;fromjk=9c85b36a3e72f27d&amp;jcid=ad07577192f2a13a,"Dallas, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BsP0bh-gP0Ksp9L4YI_2D7FE7E8Ko-sMqCKBfsZr-hldP1cnN3LXm69Vns2LcRfH1RMGTZn4JhwxyYV-qOpFPeO2Er2T_j7rJAKniIY2vQbu6ArmWZyC0uWr1oDjfB86IZGwcIGoUYnl0Agmkn2fg9veR7O5xWNjr4RW_K1JLW4DOoG3ge70cjPt3WCn55A_hGOGsLRkf3r1xeFRqkEqpz2OmUr9w6TEmrExC3n8MBPc_Ymz0ev1akRJC12e7qSenOEtV14ISqfaR8XvKUAQsslPaX_eGiflpcv-A4n7zUXzgbxqwSqh3F3BVA-7Q0vP65dAF3lqRT3z0JZ3ccBCyrnVQbXH4jXtlGxwMkVXEKl867jCqcSgtsMjYiEAlzMH2ZyNpWv01WmwXY8JpKIwJUmbAQiE9qkl48EjqmG_p4hndRaH8dBHicvsldOslmGtc=&p=11&fvj=1&vjs=3
139,            Support Analyst,"SimpleLTC Systems, LLC",NULL,Sponsored,"
            3 years of customer service experience. We are seeking a talented individual with a passion for customer service, an eye for detail, and a strong desire to…",NULL,NULL,"Richardson, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C2wfulQF9oZ-ZSJ-mo6VmM85E0P1m_2aUOMOc6iABymjQSg37JanQ7nyDt986Xh8U4gYG9XNMzdcN5UxFUXdmAX6scBrXPeZ83UmgONsj6a2FLwZYKeXRmtQBFgvn0hRjDh4DkA0Kl686S50fM47iuyeLRXyw8oYgk1oGxw9VZoWsyaXj7pxbJ1WGy6KmChQfrL1LbRp8K7cAa4qdWux01dfCnAipjjWBownipR0nlQ9IKag-DinDbZfZW8Xw3GF8dqWzLViWycCrqhDMeyOZ2jUrbIQkqCglxDsVOxp6JgHRzKxABI_tIV_04xgQXDy1eM_aFgnu_acm-_Jz5OWTm7ytyjVF2b2sUzVOAFfljRUluZ6oush9xLAltE0DaySHofd-ZtDvLzK14lxWBsQgP3MvQkBLydtyJc-tu6oAR-H-eRmr9Dkwo&p=12&fvj=1&vjs=3
140,            ERP Analyst,Allied Stone Inc.,3.1 out of 5 star rating,Sponsored,"
            Experience in provide information and data to management on an ad-hoc basis. Must be detail oriented with strong execution skills.",21 reviews,"https://www.indeed.com//cmp/Allied-Stone,-Inc./reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=ERP+Analyst&amp;fromjk=9ddbff5ea86db80c&amp;jcid=ab9ef1f11166cf2c","Dallas, TX 75229 (Preston Hollow area)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BbrXMPuVCiZRTtnWsYrF1LdlKHCZmSMTBTTD08b_OqD6nrSx0VRSVVp3_2YHV_e6t3czJUItEgJt9P5Rs964vuwvK78DZfVdm6Bz8IlFqUBoe_Ty1d7NfBUjzemLhMDyjKajcfUJl079n4qPrgAr_4AeuYY1KhoyEXCNh0vtUaZYLDx3nd_5x1YLyTxJ1ima2qCQ5WXlk6t2YinXBiAS6eY24nhHfZqGhsxvZyCVRX4zKGNIxokxsC2eT0gVsQC-vN3xzxPPsit7oHC3kGB9HRKoMyQYl7Xk1gfwh7FcM-pNewa4aBaZRp5A6kpfm37qgpgx8EeZ7Cx5pTb62h2fL2Gw1GlyDazDebLNkCFZ-ZSbMgV1O3iicio8qfhq9jvzYSc_sGhC7ULq9Kq0NdlYanaNOMao4GNNkpXwDzbEiJ_Fv5S2_f3ySy&p=13&fvj=1&vjs=3
141,Data Visualization Analyst,MV Transportation,3.1 out of 5 star rating,Sponsored,"
            MV is looking for a Data Visualization Analyst to join our Data Science team. The ideal candidate will have demonstrated success as a Visualization Analyst and…","1,353 reviews",https://www.indeed.com//cmp/Mv-Transportation/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Data+Visualization+Analyst&amp;fromjk=8eca2024a7678b52&amp;jcid=664e666343e1f3d9,"Dallas, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DdVgMPPqVTZ3Zw7YleYjiHVuuqNtn4z__DRsBmcGhhf4Bl4Fr7VSVqmycQ5cv9mOACatk_MAPO_iWPp3AXN6aXvDFfwy8za48FZbjrKSV1o61LHDKMF1hwgkey2zniZ4oIlcvUF3AYg4yu7IVOjLdTjOc6AH3cPcGKbE-yd_xQoPbmgKmerlC9I-Xq1NPBHp7TLhdxvG8Q_2MteUPZIasN5iu2WxiNsbMjr1Ep7IOf0J2GUHuQtlEOUGffwL_trv99eZJZhQmE5yPkHlXiXyPZWswIoa84QzvrZEytQ6-NA0GGbviHW8sSJk1LO126Omn3ArmR8XWhu6_dJWb1yDgURTh66Jt5HeECEC7cVk4lcEJxwVTgOCNwGsRjKSM3ozpQIZ70aU4Y8Hv0a_m_XzcsARDtuWfxhPIhamhmV7ZWb2hA6D6ILHnojAInDtAUPJg=&p=14&fvj=1&vjs=3
