,0,1,2,3,4,5,6,7,8
0,"            Evening Content Review Analyst (4PM, 5PM, 6PM Start Times) (...",Genpact LLC,3.9 out of 5 star rating,Sponsored,"
            Inviting applications for the role of Content Review Analyst . Gather,analyze and utilize relevant data to develop ways to improve the overall userexperience…","3,929 reviews",https://www.indeed.com//cmp/Genpact/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Evening+Content+Review+Analyst+%284PM%2C+5PM%2C+6PM+Start+Times%29+%28%2415%5C%2FHR%29&amp;fromjk=2abb14d749a2a091&amp;jcid=03638c05975992a3,"Richardson, TX 75082",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bw1V5fTP6wkBpTMIH8bKVasCM27LHk5tUpnHt08yQA8DQ5W3bni776uDkax5QZkkb2oNf46-UCxCI6hZ0O_0e7EQ3PmRDDtT152t2quf9WGgZVczE8-o32OUo9xQsEfBWd3e0dFVxYaLQNsn0LbU7G1EOjgG7Ua-1OjboEfPdEapaS3kEt_aoEQy6Hpt9oVckt5VdFuG-8iQM6zQxqQKZOyT6jVvXYqZkDBB2f6o4KFJ_tfCQHPhDwTZbVpnEdhw7_LAtQo5sLwka0lB27DKdr3D87Y4Lf2SeD4CQmHOCh89Pid7W0i3p18WwlWVGg8g8misU8VZOowZMvnzS5pjfkG4yHc9PdRm2qXLfBfJMp6SGv3C26cQbgaR-ymvMYtqHtJKi6DhOVXhV1XdWrEk9dNj1vkIoVTWUi3Qj_b2A1AQ9h522dVyMAQgDAzsxuN0ti3iHNMznsOYjMuyFuQLb5hM2YmmgvDhadFPyjpxLDZFeCImj0PLnZ&p=0&fvj=1&vjs=3
1,            Inventory Control Analyst,Continental Batteries,2.5 out of 5 star rating,Sponsored,"
            In-depth Data Analysis to maintain the highest performance at all locations. This position isresponsible for analyzing data, analyzing sku and product group…",8 reviews,https://www.indeed.com//cmp/Continental-Batteries/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Inventory+Control+Analyst&amp;fromjk=a1bde6c51e934374&amp;jcid=a0ba07526193b6fc,"Dallas, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C26OBtwp_bDapmpWzoOSaF3G_c9kj5VW8HVQsm68Rt3CTpt7mR7HzDdERJUMV4NvLEA84NquTXWkwD3GvxWDSgING2fS_htYo28QGWSQqIjiJxmSenH1NomsrUJlDHJEBFimhQP32Khxgnvri80rvaaL6LkS2TnzgpBxnJ3zPEInfdQXv-pvPZgTy13skDf-yHgAloxJj8-gCRNA_252LVDSo_U0rSS0EIOJR7L3KX7YuwVzr8lDVZEeyRGu9boYpEliJ7maaYRG4Okt_y4tezphE2AqQQWyDqp3GANiRlIP3N_Qu8w-kwZx1uihOmVhwbC0Et0apLt-Ej7Lq0opC3MMW3vaeHxT7MaumT9SUnHTSIC9pRaPCrmmI_rYAvS9rNGqLh9iPlnqe4g5jZyXy5sQ9eCJDKKHdyRI9mvDggznAYLZbJDZ6YAIF-OVkRT_0=&p=1&fvj=1&vjs=3
2,            Support Analyst,"SimpleLTC Systems, LLC",NULL,Sponsored,"
            3 years of customer service experience. We are seeking a talented individual with a passion for customer service, an eye for detail, and a strong desire to…",NULL,NULL,"Richardson, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C2wfulQF9oZ-ZSJ-mo6VmM85E0P1m_2aUOMOc6iABymjQSg37JanQ7nyDt986Xh8U4gYG9XNMzdcN5UxFUXdmAX6scBrXPeZ83UmgONsj6a2FLwZYKeXRmtQBFgvn0hRjDh4DkA0Kl686S50fM47iug_Sg27NK_RO1H_JiP6AlU0jU0GWtnX1rutdDW-iw-0AzFzEbDr7lQYVyNau9eNNoGm-1hWrHeQvuoHYxPX1icfK18XU_3jlZFp6bEayGy7L29rJZ3rIab_I3BZ8aQ50a0RhKkvNjCFLLDPoXolnUrIhZNvwoA-l3Gq1EsOlzN3OGTltXyWptg6rI8uFiOU-A_TzxCg7EFjFp_1m7zCJcz7Wp1YG4b2nmVYQDwfuRZZ9XKQDPYSgL_12kBgMbng5DlWHgiEJHN6NnLRbN2GWPMpGuIXgmxUO4&p=2&fvj=1&vjs=3
3,            Performance Analyst,Neiman Marcus,3.7 out of 5 star rating,Sponsored,"
            Conditional formatting, data validation, pivot tables, external data connections). Identify existing sources of data or acquire new data sources from which…","1,516 reviews",https://www.indeed.com//cmp/Neiman-Marcus/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Performance+Analyst&amp;fromjk=c9fa5ab039f3d82e&amp;jcid=7a11eee3ff8b533d,"Irving, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DPDdo9mqiGhtZC9HKuphxlVfCd0lIJzFNz9u3zyJZzY-q-nl0eberdfUKVbrpVOST7YhEnGKJBr8EZIoD9fsRJllo1eUJx3bdIQR0uD3MUeIOlcLTAc_qnYcJJDfKmoM30PatKBMPdB9-E8c5_h_q25AxXRMLy7YlgwEWX1XZBTRIsHJGgshNvfXbj0bVSZr1usGjK28K_JDKog-wpVSG92sSpb5o3s3LMi44gEE6kpfwkakKY2RXZbwa_eSqAvasyHD7SPSMFC5Db13171dthfNyVnaSbLuNPkSXBFLuAmf4jEU3FX1z5sgY3TdsVaPZpPO5qYu06LpAsNoCYqxx76SsUFv4s7d_mEJlR2dR3O87NxH1RBdDUIEVMY_FX4uEZMsYTy-e7Y2Bpp9PD--D1sFHFZ5wpcHXwsKLsXIJZs_Nshudsyip2&p=3&fvj=1&vjs=3
4,Data Entry Analyst,University of Dallas,NULL,save job - more...,"
            UD is currently seeking a Data Entry Analyst who assists in management of prospective and applicant student data and application materials.",NULL,NULL,NULL,https://www.indeed.com/company/University-of-Dallas/jobs/Data-Entry-Analyst-76476c227ee9fcf1?fccid=0a4e9ce09692de55&vjs=3
5,Data Analyst I,"National Healthcare Solutions, Inc.",NULL,21 hours ago,"
            Design and implement the transformation of data into schema to support group data, eligibility data, and premium billing data, claims data, provider data, and…",NULL,NULL,NULL,https://www.indeed.com/rc/clk?jk=7b88224723e74e72&fccid=4fa3ca685d6e6646&vjs=3
6,Data Analyst,UT Southwestern Medical Center,3.9 out of 5 star rating,save job - more...,"
            This position is security-sensitive and subject to Texas Education Code 51.215, which authorizes UT Southwestern to obtain criminal history record information.",787 reviews,https://www.indeed.com//cmp/Ut-Southwestern-Medical-Center/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Data+Analyst&amp;fromjk=3b4f354273e913ee&amp;jcid=245cecf5f0560d8c,NULL,https://www.indeed.com/rc/clk?jk=3b4f354273e913ee&fccid=245cecf5f0560d8c&vjs=3
7,            JR. Data Analyst,Plasma Computing Group,NULL,save job - more...,"
Data analyst will be preparing technical Bl reports by collecting, analyzing, and summarizing information and trends to gain insights on large data.",NULL,NULL,NULL,https://www.indeed.com/rc/clk?jk=5111df921e6899f2&fccid=62962e7b20e362c4&vjs=3
8,Data Analyst - Data Integrity,Cyxtera,2.5 out of 5 star rating,18 hours ago,"
            2+ years’ work experience in a Data Center environment. Experience in data visualization and building dashboards (Tableau, R, Excel, etc.).",4 reviews,https://www.indeed.com//cmp/Cyxtera/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Data+Analyst+-+Data+Integrity&amp;fromjk=ad21d7d1e6ad2069&amp;jcid=e6b81616838b79ae,NULL,https://www.indeed.com/rc/clk?jk=ad21d7d1e6ad2069&fccid=73c3e326a2834d49&vjs=3
9,Data Analyst,STOICSIT,NULL,5 days ago,"
            Knowledge on Data Modeling and Erwin Tool. Understand Meta Data Hub concepts and support MDH. Understand Star Schema and snow flake schema in Data warehouse.",NULL,NULL,NULL,https://www.indeed.com/company/STOICSIT/jobs/Data-Analyst-fbf3abf5a8ad605b?fccid=aaaf2bdd122d1976&vjs=3
10,Data Analyst,Caprus,NULL,4 days ago,"
            Extensive experience with complex Data Analysis, Profiling and Mining. Familiarity with Data Quality concepts and IDQ knowledge is a plus.",NULL,NULL,NULL,https://www.indeed.com/company/Caprus/jobs/Data-Analyst-125a8b3d2fa42d05?fccid=8483fb422640daad&vjs=3
11,            Population Science Data Analyst I,UT Southwestern Medical Center,3.9 out of 5 star rating,save job - more...,"
            This position is security-sensitive and subject to Texas Education Code 51.215, which authorizes UT Southwestern to obtain criminal history record information.",787 reviews,https://www.indeed.com//cmp/Ut-Southwestern-Medical-Center/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Population+Science+Data+Analyst+I&amp;fromjk=2953e5b5939d472f&amp;jcid=245cecf5f0560d8c,NULL,https://www.indeed.com/rc/clk?jk=2953e5b5939d472f&fccid=245cecf5f0560d8c&vjs=3
12,            Supply Chain Data Analyst I,Steward Health Care,3.1 out of 5 star rating,14 hours ago,"
            1-3 years in an analytical capacity, Health Care/Hospital Supply Chain data management experience preferred. Detail oriented with strong quantitative skills.",401 reviews,https://www.indeed.com//cmp/Steward-Health-Care/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Supply+Chain+Data+Analyst+I&amp;fromjk=79e376753f5f93f8&amp;jcid=0583e4d049538c8f,NULL,https://www.indeed.com/rc/clk?jk=79e376753f5f93f8&fccid=0583e4d049538c8f&vjs=3
13,            Education Reporting and Data Analyst,UT Southwestern Medical Center,3.9 out of 5 star rating,save job - more...,"
            This position is security-sensitive and subject to Texas Education Code 51.215, which authorizes UT Southwestern to obtain criminal history record information.",787 reviews,https://www.indeed.com//cmp/Ut-Southwestern-Medical-Center/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Education+Reporting+and+Data+Analyst&amp;fromjk=790ef794e44cc885&amp;jcid=245cecf5f0560d8c,NULL,https://www.indeed.com/rc/clk?jk=790ef794e44cc885&fccid=245cecf5f0560d8c&vjs=3
14,            Credit Analyst,Confidential Financial Services,NULL,Sponsored,"
            Pride in the work you submit, follow-through and attention to detail. Perform analysis surrounding financial reports, engineering data and legal documents in…",NULL,NULL,"Plano, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ANpXsWCUlpGeivrKCUsTM3nXlFrJzqpVHpLiGvEMWNKEbvAV-1zSul__eeTwHQaRbCNtEBPMSs9vqaXowcvhWwWsI85L_EJ4khNpt555tU_36CIassM9czJDrHxQwq2u16ElUhP-TDoJSU8-0zKkKSRet3nqiGPl4olSVgSmshE3wzT-2OCAoGaUP4qLKCNusF42_7iWcRolqEov22tik68N5lRRAP1HvvTLTAIRuzsorGuS0_-POH1Uo8cQW26YTQu24k8ATRSRoyErENi76rD9R3j1zjG94_99ZyYD7Tv99-ZgabpdB4qkNGu9oIBQM3385qzD4lf3KxPDtD0Pj7SKaL2WiLfig5JfD0YtwRiWvy84koLFF6bytcX-kApThW0Eup4ERiGUqTAyLb8SNPmei3Khlu_o-1NY8ZDks_w5xaTlzwopQC&p=14&fvj=1&vjs=3
15,Data Visualization Analyst,MV Transportation,3.1 out of 5 star rating,Sponsored,"
            MV is looking for a Data Visualization Analyst to join our Data Science team. The ideal candidate will have demonstrated success as a Visualization Analyst and…","1,353 reviews",https://www.indeed.com//cmp/Mv-Transportation/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Data+Visualization+Analyst&amp;fromjk=8eca2024a7678b52&amp;jcid=664e666343e1f3d9,"Dallas, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DdVgMPPqVTZ3Zw7YleYjiHVuuqNtn4z__DRsBmcGhhf4Bl4Fr7VSVqmycQ5cv9mOACatk_MAPO_iWPp3AXN6aXvDFfwy8za48FZbjrKSV1o61LHDKMF1hwgkey2zniZ4oIlcvUF3AYg4yu7IVOjLdTXLNViHzZoUJxSIv146dpCDAswfELY_4elhwWvfeqIbDrOH3pPoU0QWmo0y_gVdzkorHCXRp7VTPALSDVM-M7awEj8i4gXF_VoSvFdMDDJ6sqYMX3x9zNrnFzYgmW5AEG0SUxTzMQl5Tw3J_2FEWbBcLpAxuyeAr_cDKQH-RERW6rdjcYSOPx5MVyi2HXONUyshvxP6JAQfpVD4djgET8-a08WH1CraHEbggWUrmjaRSA7VaXDB7isuWHJuE0UKI9geNIzAduzyP09MZh-vZ60gN-TKvmxds-GgMdDjNpK68=&p=15&fvj=1&vjs=3
16,            Inventory Control Analyst,Continental Batteries,2.5 out of 5 star rating,Sponsored,"
            In-depth Data Analysis to maintain the highest performance at all locations. This position isresponsible for analyzing data, analyzing sku and product group…",8 reviews,https://www.indeed.com//cmp/Continental-Batteries/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Inventory+Control+Analyst&amp;fromjk=a1bde6c51e934374&amp;jcid=a0ba07526193b6fc,"Dallas, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C26OBtwp_bDapmpWzoOSaF3G_c9kj5VW8HVQsm68Rt3CTpt7mR7HzDdERJUMV4NvLEA84NquTXWkwD3GvxWDSgING2fS_htYo28QGWSQqIjiJxmSenH1NomsrUJlDHJEBFimhQP32Khxgnvri80rvaaL6LkS2Tnziww6U5zmVv9PyS1wCBgaPaFgFM9Yl5Z1YDKfTOrBVevi25d3Ow8sftpq1ufsAglWKDvSb5WSMy2Px_wm2yLwR0F9a5UHnonFpLsWopmLLIGUrZ7zdhdfOs0v9hj1zVt9GbA10P_qDelqMoVyQKFesKxz33MEvtD-113v2ysKXTWWXAW2aADU95t64npxYS2Pcuxhi94OJm6gRc7DMNGsoMn4q7WzXKWQk0As0prEu3My3yJcYnCSu7-1WiMq6CTXYJ4sgHW4lv5stvY7L63OVaxfn3vjNUYUY=&p=0&fvj=1&vjs=3
17,"            Reporting Analyst--Plano, TX",NTT DATA Services,3.5 out of 5 star rating,Sponsored by NTT Data,"
            This is a full-time salaried position with a group company within NTT DATA. Analyzing data to identify key drivers impacting SLA results to recommend policy,…","1,996 reviews",https://www.indeed.com//cmp/Ntt-Data-Services/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Reporting+Analyst--Plano%2C+TX&amp;fromjk=5e198b8d7869560d&amp;jcid=800c6ef45705c009,"Plano, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CmuepsQMx_RAdYAln1jJ69d8WzuEFDEHVXewtFdGhuxtumPZJm6NBNCFe4rQJhgSd_222js4qxDMWzcu1byfEjR7rV3y_BozFckB9Z_JiRvtfGHoAsDXueW1K8vQj3hD5PvWz4OF-6UGI0J92QhjIPm6WtntXo_qHeq_X67D6FI9JIGobgoYu_xx8x3uJVk5QDVkOqDTz_D1b2sCIErXhKELOrheulnOB5o4z1rZ2CZKycp5BO1csPtlr2A7qB4Swa6_iZRMPGQdThedwCHzf9YFZ_R7dOitSD4hjPedJvOH6V0ig_jcY-eOWgFz56wZQWPe2Jc3BkA-WgWPSz7CXEYVEeGpWL9-goEIZqwlc-OXpNZockZ1v-NlPTq9L2wrTMRU8zMmQv3meA2PqFyVhFZxtYUm5dMqsEz3lXTWUGyQIfBwvvZoTi615WjEnAfPWRCm7ukHc0vg9JzAGYSb5HMmPFnKX8sdbeH5XmuuQ0J6QVdgPZdG7qOcQmPMepzsNC34PqqZH4UWTIvGhlu0slOQbzkRVjCCXcCzvrthsThQxUPE95IBpO3MkrSQDEGWFkjxWP9nPJfjJ02dSorjibC37EBlOK2RyvAjQ3Ad4RfQ==&p=1&fvj=0&vjs=3
18,            Support Analyst,"SimpleLTC Systems, LLC",NULL,Sponsored,"
            3 years of customer service experience. We are seeking a talented individual with a passion for customer service, an eye for detail, and a strong desire to…",NULL,NULL,"Richardson, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C2wfulQF9oZ-ZSJ-mo6VmM85E0P1m_2aUOMOc6iABymjQSg37JanQ7nyDt986Xh8U4gYG9XNMzdcN5UxFUXdmAX6scBrXPeZ83UmgONsj6a2FLwZYKeXRmtQBFgvn0hRjDh4DkA0Kl686S50fM47iu48cNZY649dJhViz61048wHHj7q2ijiMNaLi7TYaBwX_xqhw5Upi6cCY0HLelEvgSQF2DgJ1bfR2U4Gz8zRj4hF7QGtQBNeCPtYsW45Q6j1lkY_RzpZtiFHL9gaA-1XNak-_zD0d-F2epDaMvFcdra_gNQDMm4E4wWJbQrrszuzrKZskgBbbJnszuGNvwwjIwgzcid-oH72gCbWYymVMH4YZIqzv6q6wM9xsU5ul9GRCFpWhrcfxjY2TkDQpaNvpxMX3wBB_f3oZv8U9TSAuOjF3TAGwaBeuJ&p=2&fvj=1&vjs=3
19,            Compliance Analyst - Mortgage,Recovco Mortgage Management,3.0 out of 5 star rating,Sponsored,"
            Entering data into the system. Compliance Analysts with post-closing TRID and NPL compliance experience. Recovco Mortgage Management, LLC established as an…",26 reviews,https://www.indeed.com//cmp/Recovco-Mortgage-Management/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Compliance+Analyst+-+Mortgage&amp;fromjk=9c85b36a3e72f27d&amp;jcid=ad07577192f2a13a,"Dallas, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BsP0bh-gP0Ksp9L4YI_2D7FE7E8Ko-sMqCKBfsZr-hldP1cnN3LXm69Vns2LcRfH1RMGTZn4JhwxyYV-qOpFPeO2Er2T_j7rJAKniIY2vQbu6ArmWZyC0uWr1oDjfB86IZGwcIGoUYnl0Agmkn2fg9xMhnUo9Gi1WiS1zfjk7nf7_-fgYW9OMkvcP0DLSmbzxBKUha5_WNN4n9Jt_gHPGwHBaE922DXOCXo0AB-m-0G9Xp2yJTv7MIJE59N8HeyFecCO1azvfyOOSA2Tv-V5XbJooyUikqbQugIkc8twE_9N7U9LDcM5s-j45Qrsb9ECHkMYRNKXr0i60c9u6ROtYGJbV9Llt2WJqCES1B-XKDIilLHAeJQ3BBdcSoRvdJs58xUSq5K2ShvNByLMpBs5yHdV2O4Br6i6QRJm2iKNx4A1fZ0U4L4-1skH1ZG5RS5xQ=&p=3&fvj=1&vjs=3
20,Data Analyst,Caprus,NULL,4 days ago,"
            Extensive experience with complex Data Analysis, Profiling and Mining. Familiarity with Data Quality concepts and IDQ knowledge is a plus.",NULL,NULL,NULL,https://www.indeed.com/company/Caprus/jobs/Data-Analyst-125a8b3d2fa42d05?fccid=8483fb422640daad&vjs=3
21,Data Analyst - Office of Strategic Initiatives,"City of Arlington, Texas",5.0 out of 5 star rating,4 days ago,"
            Those interested in the Data Analyst position must complete the application process through the following link to be considered:",3 reviews,"https://www.indeed.com//cmp/City-of-Arlington,-Texas/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Data+Analyst+-+Office+of+Strategic+Initiatives&amp;fromjk=b067a42ad687fdff&amp;jcid=69db593eb8e6b0e6",NULL,"https://www.indeed.com/company/City-of-Arlington,-Texas/jobs/Data-Analyst-b067a42ad687fdff?fccid=69db593eb8e6b0e6&vjs=3"
22,Data Analyst,fortisys,NULL,save job - more...,"
            Key Roles and Responsibilities for Data Analyst. Data Analyst to join our Digital Experience Analytics team. Supports data selection, extraction, and cleansing…",NULL,NULL,NULL,https://www.indeed.com/rc/clk?jk=55d2ec32331f289f&fccid=54735e605b5813c5&vjs=3
23,            Big Data Analyst,Pricesenz,NULL,save job - more...,"
            Retrieve data from Teradata and conduct analysis in big data environment. We are seeking a Big Data Analyst to become an integral part of our client’s analytics…",NULL,NULL,NULL,https://www.indeed.com/company/PriceSenz/jobs/Big-Data-Analyst-17a9ecbdd3d16039?fccid=04f1a341eb475915&vjs=3
24,Data Analyst,Horizontal Integration,2.6 out of 5 star rating,save job - more...,"
            Gathers, structures, and analyzes data from multiple data sources. Supports the development of standard data analyses, reports, and dashboards.",17 reviews,https://www.indeed.com//cmp/Horizontal-Integration/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Data+Analyst&amp;fromjk=e493d0ce6e529938&amp;jcid=48ea8b788f7975a4,NULL,https://www.indeed.com/company/Horizontal-Integration/jobs/Data-Analyst-e493d0ce6e529938?fccid=48ea8b788f7975a4&vjs=3
25,            GIS Analyst,Pyramid,3.9 out of 5 star rating,save job - more...,"
            Perform data scrubbing activities to improve data quality. Perform data entry and editing using ArcGIS Desktop. Assist with the creation of test plans.",81 reviews,https://www.indeed.com//cmp/Pyramid/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=GIS+Analyst&amp;fromjk=b67f6b1d26359ea3&amp;jcid=7b98e1432e30395f,NULL,https://www.indeed.com/company/Pyramid/jobs/GIS-Analyst-b67f6b1d26359ea3?fccid=7b98e1432e30395f&vjs=3
26,Data Analyst,IGM Group,NULL,save job - more...,"
            Analyze, design, build and support current and new data feeds from various data sources to the data warehouse. For data correlation, analysis, reporting, etc.",NULL,NULL,NULL,https://www.indeed.com/company/Ignitec-Inc./jobs/Data-Analyst-0155702e57a8e5e8?fccid=08907042361bbdfc&vjs=3
27,Data Analyst,"City of Dallas, TX",3.8 out of 5 star rating,3 days ago,"
            Knowledge of Big Data Tools and Solutions. Certification in Data Science is a plus. Five (5) years of experience in data gathering and analysis which must have…",406 reviews,https://www.indeed.com//cmp/City-of-Dallas/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Data+Analyst&amp;fromjk=0f904beab55b3567&amp;jcid=167dbeef01e893ad,NULL,https://www.indeed.com/rc/clk?jk=0f904beab55b3567&fccid=63dc47ddbc3a4e7d&vjs=3
28,            ADMINISTRATIVE ANALYST,"Dallas County, TX",3.8 out of 5 star rating,save job - more...,"
            Assists in coordinating, collecting and analyzing data; Researches, collects, and analyzes data to complete a variety of projects, reports and inquiries.",406 reviews,https://www.indeed.com//cmp/City-of-Dallas/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=ADMINISTRATIVE+ANALYST&amp;fromjk=539c914e49f0a1fe&amp;jcid=e72d87c953dfa577,NULL,https://www.indeed.com/rc/clk?jk=539c914e49f0a1fe&fccid=63dc47ddbc3a4e7d&vjs=3
29,            Business Analyst,zioqu,NULL,save job - more...,"
            Leads or works independently to provide for data transformation, testing, solving problems, and end-to-end user support needs.",NULL,NULL,NULL,https://www.indeed.com/rc/clk?jk=afecf7374e0b979a&fccid=8c70aa0d01a3d351&vjs=3
30,            Credit Analyst,Confidential Financial Services,NULL,Sponsored,"
            Pride in the work you submit, follow-through and attention to detail. Perform analysis surrounding financial reports, engineering data and legal documents in…",NULL,NULL,"Plano, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ANpXsWCUlpGeivrKCUsTM3nXlFrJzqpVHpLiGvEMWNKEbvAV-1zSul__eeTwHQaRbCNtEBPMSs9vqaXowcvhWwWsI85L_EJ4khNpt555tU_36CIassM9czJDrHxQwq2u16ElUhP-TDoJSU8-0zKkKSHOSgGN6NAGvxrq7Ow_S1YF9N5ZfA3RLL1YMAneiVOwoxexpkXmxX23fnoGa-_CvRb4b7B2wT72QNa2GyJmNsyhaBm09Bd0LjxuZj-CztrF2YALn9-46anHqbbGa1RDpTTT0yJLzLdbhIhOqhVlEmXvw65gcidmKxyb_Kuuzq-Tl7tNXiGpt5hVMVZSy6r2_2tZOTXkFtVm0gDpj_wR_zSfOBBRj4IHQPUI6_5og2kBPE_LJypY7BiXJZ9FX5wuEZz7A7Kn2pJwToJptB67rnIaiMe48Y4rH2&p=14&fvj=1&vjs=3
31,Data Visualization Analyst,MV Transportation,3.1 out of 5 star rating,Sponsored,"
            MV is looking for a Data Visualization Analyst to join our Data Science team. The ideal candidate will have demonstrated success as a Visualization Analyst and…","1,353 reviews",https://www.indeed.com//cmp/Mv-Transportation/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Data+Visualization+Analyst&amp;fromjk=8eca2024a7678b52&amp;jcid=664e666343e1f3d9,"Dallas, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DdVgMPPqVTZ3Zw7YleYjiHVuuqNtn4z__DRsBmcGhhf4Bl4Fr7VSVqmycQ5cv9mOACatk_MAPO_iWPp3AXN6aXvDFfwy8za48FZbjrKSV1o61LHDKMF1hwgkey2zniZ4oIlcvUF3AYg4yu7IVOjLdTF1Gd2-t43qKBaRW2yFsxf-o7Usio6B6eLLcS4nm1-VC-Sz1CLai93_k54uc584PpNMRf0VtXUWab4BM-OPXKNeWXWAXsg2fT_XUOtSXLCZvLFZvNUEEpg1tGZCf6rmdoV3Itgs0ZlLVaB5-epcbvRmQFCpxzwt3ERFYcF71aLQ4silkwP4TFVm_0NITfSZv0wlYQQpSIEFsfpPCYR9vCSqlpPWutOLbXHEfwRTxyIrsHLAMCeDgq-MtsXcNQI-1hRcUp0L8EgeWkkRiIEUopFsVpliO4cwQBd3RywUbuydM=&p=15&fvj=1&vjs=3
32,"            Reporting Analyst--Plano, TX",NTT DATA Services,3.5 out of 5 star rating,Sponsored by NTT Data,"
            This is a full-time salaried position with a group company within NTT DATA. Analyzing data to identify key drivers impacting SLA results to recommend policy,…","1,996 reviews",https://www.indeed.com//cmp/Ntt-Data-Services/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Reporting+Analyst--Plano%2C+TX&amp;fromjk=5e198b8d7869560d&amp;jcid=800c6ef45705c009,"Plano, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CmuepsQMx_RAdYAln1jJ69d8WzuEFDEHVXewtFdGhuxtumPZJm6NBNCFe4rQJhgSd_222js4qxDMWzcu1byfEjR7rV3y_BozFckB9Z_JiRvtfGHoAsDXueW1K8vQj3hD5PvWz4OF-6UPWOCuihcbZS6NDzk7DvQhBjl_hb8tHNFlAo2t5c2hhuhZt7dF2FDGzpzflHAnza0j2-vm9bVwNgtTCHfjJ0XPYwc__VORYnUpKb8qEMlXCfyEmoWEAEpYbgt03C8rnG1_JaW7z6vxh54QdiCN3CecxTZGXqogk-eplPD0Eyg303pBuCE0NPrBF_dBmSDoK92tli0hmqkVjMTFHNqQHtvuSjmCW86n9hxXLZga88R0sGGg-C50WZRH-ChDSzj7L5f_q7bL_CNlS5vLhAIB4B4Jc3vPge_PFVPl4wl44hJguDAVVRxlWQq3WAhsdod4ktjgnAftbwPHW1b1sRSnO_P67FkykcVVdXwfhQbTRK8yMuOcxUgW8DAjVysj5upRKLq5_46cdPL-KLAElIsjIAzTsBR1xR5Xre1H9R3aUODRgNgZUqxJsWs3_u_v48I0lHIcL3axbcP9poX0WWPYrGGLCyJN77l6vKSQ==&p=0&fvj=0&vjs=3
33,            Credit Analyst,Confidential Financial Services,NULL,Sponsored,"
            Pride in the work you submit, follow-through and attention to detail. Perform analysis surrounding financial reports, engineering data and legal documents in…",NULL,NULL,"Plano, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ANpXsWCUlpGeivrKCUsTM3nXlFrJzqpVHpLiGvEMWNKEbvAV-1zSul__eeTwHQaRbCNtEBPMSs9vqaXowcvhWwWsI85L_EJ4khNpt555tU_36CIassM9czJDrHxQwq2u16ElUhP-TDoJSU8-0zKkKS1SDnulkTH6oNzmfJRgKFvAOlg9khB7VUOUBez9BcyMs_N7Qg7xb-crJd53LckF8NbSM_ZI76IAbuvnemPn3g1s4j7hrddxNGzWaQQCu_Ry4RC-Rav_DhWqlMEIPtDNeiaWjjERf5Y3Xv_rIgGORv69WN4fTNFPyXUBkcZ31vV9-SJdwp_uI99a1uLGGYv7wSt7LiwDV-4s5CmG_XAQDRcAX63ur42xaXGe60vkWCUUaYL9aGqlMYoUwSjA6OL-BjjwpU8JapohdNRjEhXE8xlZ3R5skuwbxl&p=1&fvj=1&vjs=3
