,Name,Link
135,Cane Rosso,https://m.yelp.com//biz/cane-rosso-dallas-2
136,TJ’s Seafood Market & Grill,https://m.yelp.com//biz/tjs-seafood-market-and-grill-dallas-2
137,TX BBQ & Burgers,https://m.yelp.com//biz/tx-bbq-and-burgers-dallas-2
138,Fachini,https://m.yelp.com//biz/fachini-dallas
139,Big Guy’s Chicken & Rice,https://m.yelp.com//biz/big-guys-chicken-and-rice-dallas
140,Suze,https://m.yelp.com//biz/suze-dallas
141,Dean’s Smokin Bbq,https://m.yelp.com//biz/deans-smokin-bbq-dallas
142,Medina Oven & Bar,https://m.yelp.com//biz/medina-oven-and-bar-dallas
143,SkinnyFATS,https://m.yelp.com//biz/skinnyfats-dallas
144,Rex’s Seafood and Market,https://m.yelp.com//biz/rexs-seafood-and-market-dallas-3
145,Mot Hai Ba,https://m.yelp.com//biz/mot-hai-ba-dallas
146,King Buffet,https://m.yelp.com//biz/king-buffet-dallas
147,Hopdoddy Burger Bar,https://m.yelp.com//biz/hopdoddy-burger-bar-dallas-5
148,Duc Chuong Midnite Bun Bo Hue,https://m.yelp.com//biz/duc-chuong-midnite-bun-bo-hue-dallas
149,Stackhouse,https://m.yelp.com//biz/stackhouse-dallas
150,bbbop Seoul Kitchen,https://m.yelp.com//biz/bbbop-seoul-kitchen-dallas-2
151,Tejas,https://m.yelp.com//biz/tejas-dallas
152,The Rustic,https://m.yelp.com//biz/the-rustic-dallas
153,The Crab Station - Walnut Dallas,https://m.yelp.com//biz/the-crab-station-walnut-dallas-dallas
154,El Tacaso,https://m.yelp.com//biz/el-tacaso-dallas
155,Wheelhouse,https://m.yelp.com//biz/wheelhouse-dallas-2
156,Cheesesteak House,https://m.yelp.com//biz/cheesesteak-house-dallas
157,Blues Burgers,https://m.yelp.com//biz/blues-burgers-dallas
158,Suze,https://m.yelp.com//biz/suze-dallas
159,Pappasito’s Cantina,https://m.yelp.com//biz/pappasitos-cantina-dallas
160,Montlake Cut,https://m.yelp.com//biz/montlake-cut-dallas
161,Big Guy’s Chicken & Rice,https://m.yelp.com//biz/big-guys-chicken-and-rice-dallas
162,Desta Ethiopian Restaurant,https://m.yelp.com//biz/desta-ethiopian-restaurant-dallas
163,Kuai Asian Kitchen,https://m.yelp.com//biz/kuai-asian-kitchen-dallas-3
164,Toulouse Café and Bar,https://m.yelp.com//biz/toulouse-caf%C3%A9-and-bar-dallas-2
165,Oddfellows,https://m.yelp.com//biz/oddfellows-dallas
166,Norma’s Cafe,https://m.yelp.com//biz/normas-cafe-dallas-2
167,Social Pie,https://m.yelp.com//biz/social-pie-dallas
168,bbbop Seoul Kitchen R&D,https://m.yelp.com//biz/bbbop-seoul-kitchen-r-and-d-dallas
169,Bolsa,https://m.yelp.com//biz/bolsa-dallas
170,Maya’s Modern Mediterranean,https://m.yelp.com//biz/mayas-modern-mediterranean-dallas-2
171,The Mansion Restaurant,https://m.yelp.com//biz/the-mansion-restaurant-dallas-9
172,Stackhouse,https://m.yelp.com//biz/stackhouse-dallas
173,Taqueria La Ventana,https://m.yelp.com//biz/taqueria-la-ventana-dallas-5
174,Braindead Brewing,https://m.yelp.com//biz/braindead-brewing-dallas-2
175,Spiral Diner & Bakery,https://m.yelp.com//biz/spiral-diner-and-bakery-dallas
176,King Buffet,https://m.yelp.com//biz/king-buffet-dallas
177,The Lot,https://m.yelp.com//biz/the-lot-dallas
178,Pink Magnolia,https://m.yelp.com//biz/pink-magnolia-dallas
179,Hopdoddy Burger Bar,https://m.yelp.com//biz/hopdoddy-burger-bar-dallas-2
180,S&D Oyster Company,https://m.yelp.com//biz/s-and-d-oyster-company-dallas-2
181,Dylan’s Barbeque Saloon,https://m.yelp.com//biz/dylans-barbeque-saloon-dallas
182,Jonathon’s Oak Cliff,https://m.yelp.com//biz/jonathons-oak-cliff-dallas
183,TJ’s Seafood Market & Grill,https://m.yelp.com//biz/tjs-seafood-market-and-grill-dallas-2
184,Boulevardier,https://m.yelp.com//biz/boulevardier-dallas
185,"Snooze, an A.M. Eatery",https://m.yelp.com//biz/snooze-an-a-m-eatery-dallas-5
186,Casa Linda Salvadorian Cuisine,https://m.yelp.com//biz/casa-linda-salvadorian-cuisine-dallas
187,Flaming Cheese Saganaki,https://m.yelp.com//biz/flaming-cheese-saganaki-dallas
188,Szechuan Chinese Restaurant,https://m.yelp.com//biz/szechuan-chinese-restaurant-dallas-2
189,El Ranchito,https://m.yelp.com//biz/el-ranchito-dallas
190,Ddukbaegi - Hot Pot Korean,https://m.yelp.com//biz/ddukbaegi-hot-pot-korean-dallas
191,STIRR,https://m.yelp.com//biz/stirr-dallas
192,Zaap Kitchen Lao & Thai Street Eats,https://m.yelp.com//biz/zaap-kitchen-lao-and-thai-street-eats-dallas
193,Nick & Sam’s,https://m.yelp.com//biz/nick-and-sams-dallas
194,Y O Ranch Steakhouse,https://m.yelp.com//biz/y-o-ranch-steakhouse-dallas-2
195,Bugatti Ristorante,https://m.yelp.com//biz/bugatti-ristorante-dallas
196,Burnin92,https://m.yelp.com//biz/burnin92-dallas
197,Truluck’s,https://m.yelp.com//biz/trulucks-dallas-2
198,Chicken Scratch,https://m.yelp.com//biz/chicken-scratch-dallas
199,RJ Mexican Cuisine,https://m.yelp.com//biz/rj-mexican-cuisine-dallas
200,ONENTWO Chicken,https://m.yelp.com//biz/onentwo-chicken-dallas-2
201,Sundown at Granada,https://m.yelp.com//biz/sundown-at-granada-dallas-2
202,Ferris Wheelers Backyard & BBQ,https://m.yelp.com//biz/ferris-wheelers-backyard-and-bbq-dallas
203,Frankie’s Downtown,https://m.yelp.com//biz/frankies-downtown-dallas-3
204,Sunset Crab Shack,https://m.yelp.com//biz/sunset-crab-shack-dallas-3
205,Petra and the Beast,https://m.yelp.com//biz/petra-and-the-beast-dallas
206,Jack’s Kitchen,https://m.yelp.com//biz/jacks-kitchen-dallas-2
